System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
02:27:20.293,0.56,2.31,6.15,2.18,7007.71,32.01,18.25,2.47,2.4
02:27:20.394,0.66,2.4,4.91,2.07,8303.19,36.08,18.8,2.25,2.41
02:27:20.493,0.55,2.28,6.19,2.13,6799.96,31.52,18.1,2.46,2.39
02:27:20.593,0.69,2.33,4.85,1.75,8497.36,38.55,18.18,2.18,2.4
02:27:20.693,0.68,2.38,5.27,1.87,8574.41,37.73,18.67,2.26,2.39
02:27:20.793,0.57,2.28,6.37,2.22,7053.21,32.5,18.35,2.52,2.4
02:27:20.894,0.69,2.33,5.09,1.83,8579.89,38.53,18.48,2.22,2.4
02:27:20.994,0.6,2.31,6.39,2.22,7501.77,33.99,18.58,2.52,2.4
02:27:21.094,0.67,2.33,5.35,1.9,8342.95,37.48,18.45,2.3,2.39
02:27:21.194,0.65,2.39,4.89,2.03,8068.68,35.58,18.37,2.21,2.4
02:27:21.294,0.57,2.33,6.09,2.18,7107.05,32.11,18.4,2.47,2.4
02:27:21.394,0.68,2.36,5.06,1.86,8469.13,37.71,18.45,2.22,2.4
02:27:21.494,0.58,2.35,6.66,2.34,7182.29,32.1,18.62,2.6,2.37
02:27:21.594,0.68,2.37,5.1,1.86,8501.12,37.64,18.58,2.25,2.4
02:27:21.694,0.67,2.37,5.09,1.84,8387.24,37.24,18.35,2.22,2.4
02:27:21.795,0.55,2.31,6.04,2.15,6957.1,31.39,18.44,2.47,2.4
02:27:21.896,0.69,2.34,5.1,1.87,8549.83,38.39,18.5,2.23,2.4
02:27:21.995,0.55,2.32,6.48,2.27,6795.69,30.91,18.22,2.52,2.4
02:27:22.096,0.64,2.39,4.45,1.95,8038.27,35.09,18.42,2.16,2.4
02:27:22.196,0.56,2.28,6.08,2.16,6989.11,32.12,18.26,2.46,2.4
02:27:22.296,0.67,2.35,5.03,1.88,8369.08,37.5,18.32,2.22,2.4
02:27:22.397,0.66,2.35,5.05,1.84,8217.06,36.59,18.51,2.22,2.4
02:27:22.497,0.57,2.3,6.08,2.19,7037.93,32.26,18.19,2.45,2.4
02:27:22.597,0.67,2.35,5.06,1.88,8422.47,37.59,18.47,2.21,2.4
02:27:22.697,0.54,2.28,6.05,2.14,6769.41,31.21,18.26,2.46,2.4
02:27:22.798,0.67,2.34,5.08,1.89,8461.0,37.67,18.43,2.22,2.41
02:27:22.897,0.5,2.33,6.01,2.32,6153.26,27.88,18.0,2.43,2.39
02:27:22.998,0.69,2.34,4.88,1.85,8588.38,38.37,18.6,2.21,2.41
02:27:23.098,0.68,2.37,5.07,1.78,8523.29,37.72,18.48,2.22,2.39
02:27:23.198,0.57,2.33,6.16,2.11,7083.07,32.05,18.26,2.44,2.4
02:27:23.299,0.68,2.36,5.0,1.81,8558.67,37.79,18.58,2.22,2.4
02:27:23.399,0.56,2.33,6.55,2.24,6988.22,31.62,18.42,2.52,2.4
02:27:23.499,0.68,2.36,5.06,1.8,8463.41,37.66,18.44,2.21,2.4
02:27:23.599,0.66,2.36,5.01,1.76,8221.1,36.64,18.38,2.2,2.4
02:27:23.699,0.57,2.29,6.07,2.1,7083.83,32.42,18.23,2.44,2.4
02:27:23.799,0.64,2.37,4.5,1.87,7933.17,35.11,18.21,2.14,2.4
02:27:23.900,0.56,2.28,6.34,2.24,6995.81,32.01,18.4,2.54,2.4
02:27:24.000,0.67,2.34,4.98,1.79,8299.13,37.31,18.3,2.2,2.4
02:27:24.100,0.55,2.34,6.27,2.18,6883.59,30.9,18.37,2.47,2.4
02:27:24.200,0.68,2.35,4.77,1.71,8483.59,38.08,18.42,2.17,2.4
02:27:24.301,0.6,2.39,4.74,1.69,7483.05,32.64,18.25,2.15,2.4
02:27:24.401,0.57,2.33,6.01,2.12,7090.13,31.96,18.35,2.43,2.4
02:27:24.501,0.66,2.33,4.84,1.74,8229.85,37.15,18.23,2.18,2.4
02:27:24.601,0.57,2.31,6.18,2.14,7033.99,32.19,18.2,2.47,2.4
02:27:24.701,0.62,2.37,4.17,1.85,7653.89,33.97,17.99,2.09,2.4
02:27:24.801,0.56,2.32,6.51,2.31,6961.07,31.4,18.56,2.55,2.4
02:27:24.901,0.66,2.34,4.77,1.76,8195.59,36.72,18.21,2.15,2.4
02:27:25.001,0.67,2.33,5.13,1.87,8271.89,37.49,18.3,2.25,2.4
02:27:25.101,0.58,2.33,6.06,2.19,7149.42,32.29,18.48,2.45,2.4
02:27:25.201,0.67,2.35,4.97,1.83,8332.55,37.21,18.31,2.2,2.4
02:27:25.301,0.55,2.32,6.31,2.23,6812.56,30.8,18.44,2.5,2.4
02:27:25.402,0.67,2.36,4.67,1.74,8428.51,37.33,18.48,2.15,2.4
02:27:25.501,0.55,2.37,5.88,2.33,6810.62,30.38,18.27,2.42,2.4
02:27:25.601,0.66,2.33,5.08,1.87,8223.97,37.05,18.37,2.24,2.4
02:27:25.702,0.68,2.34,5.2,1.87,8567.48,38.23,18.5,2.25,2.4
02:27:25.802,0.58,2.34,6.43,2.24,7177.07,32.26,18.62,2.54,2.39
02:27:25.902,0.69,2.38,5.11,1.84,8601.65,38.1,18.51,2.24,2.39
02:27:26.002,0.6,2.33,6.35,2.21,7478.34,33.79,18.54,2.49,2.4
02:27:26.102,0.66,2.33,5.35,1.9,8212.88,36.94,18.44,2.29,2.4
02:27:26.202,0.57,2.46,4.1,1.48,7129.68,30.54,18.12,2.0,2.4
02:27:26.302,0.58,2.33,6.24,2.16,7183.12,32.35,18.53,2.47,2.4
02:27:26.402,0.64,2.4,4.58,1.97,7931.52,34.71,18.36,2.14,2.4
02:27:26.502,0.56,2.29,6.17,2.11,7024.33,32.26,18.21,2.45,2.4
02:27:26.603,0.68,2.35,5.04,1.81,8441.18,37.76,18.38,2.19,2.41
02:27:26.703,0.55,2.3,6.45,2.22,6922.39,31.4,18.5,2.53,2.4
02:27:26.802,0.67,2.32,4.71,1.66,8346.05,38.07,17.97,2.1,2.39
